date,mode,note,percent_diff,category
2020-04-27,All motor vehicles,2,44,All motor vehicles
2020-04-27,National Rail,"3,4",4,Other public
2020-04-27,TfL Tube,5,5,London public
2020-04-27,TfL Bus,"5,7",0,London public
2020-04-27,Bus excl. London,"6,8,9",12,Other public
2020-04-27,Cycling,"10,11",159,Cycling
2020-04-28,Cars,2,38,Cars
2020-04-28,Light Commercial Vehicles,2,49,Logistics
2020-04-28,Heavy Goods Vehicles,2,67,Logistics
2020-04-28,All motor vehicles,2,42,All motor vehicles
2020-04-28,National Rail,"3,4",4,Other public
2020-04-28,TfL Tube,5,5,London public
2020-04-28,TfL Bus,"5,7",0,London public
2020-04-28,Bus excl. London,"6,8,9",11,Other public
2020-04-28,Cycling,"10,11",49,Cycling
2020-04-29,Cars,2,38,Cars
2020-04-29,Light Commercial Vehicles,2,49,Logistics
2020-04-29,Heavy Goods Vehicles,2,68,Logistics
2020-04-29,All motor vehicles,2,42,All motor vehicles
2020-04-29,National Rail,"3,4",4,Other public
2020-04-29,TfL Tube,5,5,London public
2020-04-29,TfL Bus,"5,7",0,London public
2020-04-29,Bus excl. London,"6,8,9",11,Other public
2020-04-29,Cycling,"10,11",111.00000000000001,Cycling
2020-04-30,Cars,2,39,Cars
2020-04-30,Light Commercial Vehicles,2,48,Logistics
2020-04-30,Heavy Goods Vehicles,2,67,Logistics
2020-04-30,All motor vehicles,2,42,All motor vehicles
2020-04-30,National Rail,"3,4",4,Other public
2020-04-30,TfL Tube,5,5,London public
2020-04-30,TfL Bus,"5,7",0,London public
2020-04-30,Bus excl. London,"6,8,9",11,Other public
2020-04-30,Cycling,"10,11",97,Cycling
2020-05-01,Cars,2,40,Cars
2020-05-01,Light Commercial Vehicles,2,50,Logistics
2020-05-01,Heavy Goods Vehicles,2,66,Logistics
2020-05-01,All motor vehicles,2,44,All motor vehicles
2020-05-01,National Rail,"3,4",4,Other public
2020-05-01,TfL Tube,5,5,London public
2020-05-01,TfL Bus,"5,7",0,London public
2020-05-01,Bus excl. London,"6,8,9",12,Other public
2020-05-01,Cycling,"10,11",123,Cycling
2020-05-02,Cars,2,38,Cars
2020-05-02,Light Commercial Vehicles,2,47,Logistics
2020-05-02,Heavy Goods Vehicles,2,72,Logistics
2020-05-02,All motor vehicles,2,40,All motor vehicles
2020-05-02,National Rail,"3,4",4,Other public
2020-05-02,TfL Tube,5,4,London public
2020-05-02,TfL Bus,"5,7",0,London public
2020-05-02,Bus excl. London,"6,8,9",12,Other public
2020-05-02,Cycling,"10,11",310,Cycling
2020-05-03,Cars,2,34,Cars
2020-05-03,Light Commercial Vehicles,2,42,Logistics
2020-05-03,Heavy Goods Vehicles,2,76,Logistics
2020-05-03,All motor vehicles,2,37,All motor vehicles
2020-05-03,National Rail,"3,4",4,Other public
2020-05-03,TfL Tube,5,4,London public
2020-05-03,TfL Bus,"5,7",0,London public
2020-05-03,Bus excl. London,"6,8,9",13,Other public
2020-05-03,Cycling,"10,11",258,Cycling
2020-05-04,Cars,2,42,Cars
2020-05-04,Light Commercial Vehicles,2,55.00000000000001,Logistics
2020-05-04,Heavy Goods Vehicles,2,70,Logistics
2020-05-04,All motor vehicles,2,46,All motor vehicles
2020-05-04,National Rail,"3,4",5,Other public
2020-05-04,TfL Tube,5,6,London public
2020-05-04,TfL Bus,"5,7",0,London public
2020-05-04,Bus excl. London,"6,8,9",12,Other public
2020-05-04,Cycling,"10,11",155,Cycling
2020-05-05,Cars,2,42,Cars
2020-05-05,Light Commercial Vehicles,2,54,Logistics
2020-05-05,Heavy Goods Vehicles,2,71,Logistics
2020-05-05,All motor vehicles,2,46,All motor vehicles
2020-05-05,National Rail,"3,4",5,Other public
2020-05-05,TfL Tube,5,6,London public
2020-05-05,TfL Bus,"5,7",0,London public
2020-05-05,Bus excl. London,"6,8,9",12,Other public
2020-05-05,Cycling,"10,11",131,Cycling
2020-05-06,Cars,2,43,Cars
2020-05-06,Light Commercial Vehicles,2,55.00000000000001,Logistics
2020-05-06,Heavy Goods Vehicles,2,73,Logistics
2020-05-06,All motor vehicles,2,47,All motor vehicles
2020-05-06,National Rail,"3,4",5,Other public
2020-05-06,TfL Tube,5,5,London public
2020-05-06,TfL Bus,"5,7",0,London public
2020-05-06,Bus excl. London,"6,8,9",12,Other public
2020-05-06,Cycling,"10,11",225.99999999999997,Cycling
2020-05-07,Cars,2,45,Cars
2020-05-07,Light Commercial Vehicles,2,56.00000000000001,Logistics
2020-05-07,Heavy Goods Vehicles,2,71,Logistics
2020-05-07,All motor vehicles,2,49,All motor vehicles
2020-05-07,National Rail,"3,4",5,Other public
2020-05-07,TfL Tube,5,5,London public
2020-05-07,TfL Bus,"5,7",0,London public
2020-05-07,Bus excl. London,"6,8,9",13,Other public
2020-05-07,Cycling,"10,11",224.00000000000003,Cycling
2020-05-08,Cars,2,33,Cars
2020-05-08,Light Commercial Vehicles,2,33,Logistics
2020-05-08,Heavy Goods Vehicles,2,35,Logistics
2020-05-08,All motor vehicles,2,34,All motor vehicles
2020-05-08,National Rail,"3,4",5,Other public
2020-05-08,TfL Tube,5,7.000000000000001,London public
2020-05-08,TfL Bus,"5,7",0,London public
2020-05-08,Bus excl. London,"6,8,9",0,Other public
2020-05-08,Cycling,"10,11",236,Cycling
2020-05-09,Cars,2,39,Cars
2020-05-09,Light Commercial Vehicles,2,46,Logistics
2020-05-09,Heavy Goods Vehicles,2,65,Logistics
2020-05-09,All motor vehicles,2,41,All motor vehicles
2020-05-09,National Rail,"3,4",5,Other public
2020-05-09,TfL Tube,5,5,London public
2020-05-09,TfL Bus,"5,7",0,London public
2020-05-09,Bus excl. London,"6,8,9",13,Other public
2020-05-09,Cycling,"10,11",384,Cycling
2020-05-10,Cars,2,35,Cars
2020-05-10,Light Commercial Vehicles,2,44,Logistics
2020-05-10,Heavy Goods Vehicles,2,77,Logistics
2020-05-10,All motor vehicles,2,37,All motor vehicles
2020-05-10,National Rail,"3,4",5,Other public
2020-05-10,TfL Tube,5,4,London public
2020-05-10,TfL Bus,"5,7",0,London public
2020-05-10,Bus excl. London,"6,8,9",13,Other public
2020-05-10,Cycling,"10,11",150,Cycling
2020-05-11,Cars,2,45,Cars
2020-05-11,Light Commercial Vehicles,2,57.99999999999999,Logistics
2020-05-11,Heavy Goods Vehicles,2,74,Logistics
2020-05-11,All motor vehicles,2,49,All motor vehicles
2020-05-11,National Rail,"3,4",5,Other public
2020-05-11,TfL Tube,5,6,London public
2020-05-11,TfL Bus,"5,7",0,London public
2020-05-11,Bus excl. London,"6,8,9",12,Other public
2020-05-11,Cycling,"10,11",100,Cycling
2020-05-12,Cars,2,45,Cars
2020-05-12,Light Commercial Vehicles,2,59,Logistics
2020-05-12,Heavy Goods Vehicles,2,75,Logistics
2020-05-12,All motor vehicles,2,50,All motor vehicles
2020-05-12,National Rail,"3,4",5,Other public
2020-05-12,TfL Tube,5,6,London public
2020-05-12,TfL Bus,"5,7",0,London public
2020-05-12,Bus excl. London,"6,8,9",13,Other public
2020-05-12,Cycling,"10,11",143,Cycling
2020-05-13,Cars,2,48,Cars
2020-05-13,Light Commercial Vehicles,2,61,Logistics
2020-05-13,Heavy Goods Vehicles,2,76,Logistics
2020-05-13,All motor vehicles,2,53,All motor vehicles
2020-05-13,National Rail,"3,4",5,Other public
2020-05-13,TfL Tube,5,6,London public
2020-05-13,TfL Bus,"5,7",0,London public
2020-05-13,Bus excl. London,"6,8,9",12,Other public
2020-05-13,Cycling,"10,11",152,Cycling
2020-05-14,Cars,2,50,Cars
2020-05-14,Light Commercial Vehicles,2,60,Logistics
2020-05-14,Heavy Goods Vehicles,2,75,Logistics
2020-05-14,All motor vehicles,2,54,All motor vehicles
2020-05-14,National Rail,"3,4",5,Other public
2020-05-14,TfL Tube,5,6,London public
2020-05-14,TfL Bus,"5,7",0,London public
2020-05-14,Bus excl. London,"6,8,9",13,Other public
2020-05-14,Cycling,"10,11",209,Cycling
2020-05-15,Cars,2,51,Cars
2020-05-15,Light Commercial Vehicles,2,61,Logistics
2020-05-15,Heavy Goods Vehicles,2,74,Logistics
2020-05-15,All motor vehicles,2,55.00000000000001,All motor vehicles
2020-05-15,National Rail,"3,4",6,Other public
2020-05-15,TfL Tube,5,6,London public
2020-05-15,TfL Bus,"5,7",0,London public
2020-05-15,Bus excl. London,"6,8,9",13,Other public
2020-05-15,Cycling,"10,11",175,Cycling
2020-05-16,Cars,2,52,Cars
2020-05-16,Light Commercial Vehicles,2,64,Logistics
2020-05-16,Heavy Goods Vehicles,2,80,Logistics
2020-05-16,All motor vehicles,2,56.00000000000001,All motor vehicles
2020-05-16,National Rail,"3,4",6,Other public
2020-05-16,TfL Tube,5,5,London public
2020-05-16,TfL Bus,"5,7",0,London public
2020-05-16,Bus excl. London,"6,8,9",13,Other public
2020-05-16,Cycling,"10,11",316,Cycling
2020-05-17,Cars,2,50,Cars
2020-05-17,Light Commercial Vehicles,2,63,Logistics
2020-05-17,Heavy Goods Vehicles,2,84,Logistics
2020-05-17,All motor vehicles,2,54,All motor vehicles
2020-05-17,National Rail,"3,4",6,Other public
2020-05-17,TfL Tube,5,5,London public
2020-05-17,TfL Bus,"5,7",0,London public
2020-05-17,Bus excl. London,"6,8,9",15,Other public
2020-05-17,Cycling,"10,11",311,Cycling
2020-05-18,Cars,2,53,Cars
2020-05-18,Light Commercial Vehicles,2,67,Logistics
2020-05-18,Heavy Goods Vehicles,2,79,Logistics
2020-05-18,All motor vehicles,2,57.99999999999999,All motor vehicles
2020-05-18,National Rail,"3,4",6,Other public
2020-05-18,TfL Tube,5,7.000000000000001,London public
2020-05-18,TfL Bus,"5,7",0,London public
2020-05-18,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-05-18,Cycling,"10,11",164,Cycling
2020-05-19,Cars,2,54,Cars
2020-05-19,Light Commercial Vehicles,2,67,Logistics
2020-05-19,Heavy Goods Vehicles,2,79,Logistics
2020-05-19,All motor vehicles,2,57.99999999999999,All motor vehicles
2020-05-19,National Rail,"3,4",7.000000000000001,Other public
2020-05-19,TfL Tube,5,7.000000000000001,London public
2020-05-19,TfL Bus,"5,7",0,London public
2020-05-19,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-05-19,Cycling,"10,11",167,Cycling
2020-05-20,Cars,2,56.00000000000001,Cars
2020-05-20,Light Commercial Vehicles,2,67,Logistics
2020-05-20,Heavy Goods Vehicles,2,80,Logistics
2020-05-20,All motor vehicles,2,60,All motor vehicles
2020-05-20,National Rail,"3,4",7.000000000000001,Other public
2020-05-20,TfL Tube,5,7.000000000000001,London public
2020-05-20,TfL Bus,"5,7",0,London public
2020-05-20,Bus excl. London,"6,8,9",13,Other public
2020-05-20,Cycling,"10,11",231.99999999999997,Cycling
2020-05-21,Cars,2,54,Cars
2020-05-21,Light Commercial Vehicles,2,66,Logistics
2020-05-21,Heavy Goods Vehicles,2,80,Logistics
2020-05-21,All motor vehicles,2,59,All motor vehicles
2020-05-21,National Rail,"3,4",7.000000000000001,Other public
2020-05-21,TfL Tube,5,7.000000000000001,London public
2020-05-21,TfL Bus,"5,7",0,London public
2020-05-21,Bus excl. London,"6,8,9",13,Other public
2020-05-21,Cycling,"10,11",223,Cycling
2020-05-22,Cars,2,56.00000000000001,Cars
2020-05-22,Light Commercial Vehicles,2,67,Logistics
2020-05-22,Heavy Goods Vehicles,2,79,Logistics
2020-05-22,All motor vehicles,2,59,All motor vehicles
2020-05-22,National Rail,"3,4",7.000000000000001,Other public
2020-05-22,TfL Tube,5,8,London public
2020-05-22,TfL Bus,"5,7",0,London public
2020-05-22,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-05-22,Cycling,"10,11",121,Cycling
2020-05-23,Cars,2,55.00000000000001,Cars
2020-05-23,Light Commercial Vehicles,2,68,Logistics
2020-05-23,Heavy Goods Vehicles,2,84,Logistics
2020-05-23,All motor vehicles,2,57.99999999999999,All motor vehicles
2020-05-23,National Rail,"3,4",7.000000000000001,Other public
2020-05-23,TfL Tube,5,6,London public
2020-05-23,TfL Bus,"5,7",0,London public
2020-05-23,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-05-23,Cycling,"10,11",162,Cycling
2020-05-24,Cars,2,55.00000000000001,Cars
2020-05-24,Light Commercial Vehicles,2,67,Logistics
2020-05-24,Heavy Goods Vehicles,2,80,Logistics
2020-05-24,All motor vehicles,2,57.99999999999999,All motor vehicles
2020-05-24,National Rail,"3,4",7.000000000000001,Other public
2020-05-24,TfL Tube,5,6,London public
2020-05-24,TfL Bus,"5,7",0,London public
2020-05-24,Bus excl. London,"6,8,9",16,Other public
2020-05-24,Cycling,"10,11",263,Cycling
2020-05-25,Cars,2,50,Cars
2020-05-25,Light Commercial Vehicles,2,46,Logistics
2020-05-25,Heavy Goods Vehicles,2,34,Logistics
2020-05-25,All motor vehicles,2,50,All motor vehicles
2020-05-25,National Rail,"3,4",7.000000000000001,Other public
2020-05-25,TfL Tube,5,9,London public
2020-05-25,TfL Bus,"5,7",0,London public
2020-05-25,Bus excl. London,"6,8,9",19,Other public
2020-05-25,Cycling,"10,11",282,Cycling
2020-05-26,Cars,2,59,Cars
2020-05-26,Light Commercial Vehicles,2,73,Logistics
2020-05-26,Heavy Goods Vehicles,2,81,Logistics
2020-05-26,All motor vehicles,2,63,All motor vehicles
2020-05-26,National Rail,"3,4",7.000000000000001,Other public
2020-05-26,TfL Tube,5,9,London public
2020-05-26,TfL Bus,"5,7",0,London public
2020-05-26,Bus excl. London,"6,8,9",15,Other public
2020-05-26,Cycling,"10,11",166,Cycling
2020-05-27,Cars,2,59,Cars
2020-05-27,Light Commercial Vehicles,2,72,Logistics
2020-05-27,Heavy Goods Vehicles,2,84,Logistics
2020-05-27,All motor vehicles,2,63,All motor vehicles
2020-05-27,National Rail,"3,4",7.000000000000001,Other public
2020-05-27,TfL Tube,5,8,London public
2020-05-27,TfL Bus,"5,7",0,London public
2020-05-27,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-05-27,Cycling,"10,11",225,Cycling
2020-05-28,Cars,2,59,Cars
2020-05-28,Light Commercial Vehicles,2,71,Logistics
2020-05-28,Heavy Goods Vehicles,2,83,Logistics
2020-05-28,All motor vehicles,2,64,All motor vehicles
2020-05-28,National Rail,"3,4",7.000000000000001,Other public
2020-05-28,TfL Tube,5,9,London public
2020-05-28,TfL Bus,"5,7",0,London public
2020-05-28,Bus excl. London,"6,8,9",14.000000000000002,Other public
2020-05-28,Cycling,"10,11",235,Cycling
2020-05-29,Cars,2,62,Cars
2020-05-29,Light Commercial Vehicles,2,72,Logistics
2020-05-29,Heavy Goods Vehicles,2,83,Logistics
2020-05-29,All motor vehicles,2,66,All motor vehicles
2020-05-29,National Rail,"3,4",8,Other public
2020-05-29,TfL Tube,5,9,London public
2020-05-29,TfL Bus,"5,7",0,London public
2020-05-29,Bus excl. London,"6,8,9",15,Other public
2020-05-29,Cycling,"10,11",197,Cycling
2020-05-30,Cars,2,66,Cars
2020-05-30,Light Commercial Vehicles,2,77,Logistics
2020-05-30,Heavy Goods Vehicles,2,92,Logistics
2020-05-30,All motor vehicles,2,69,All motor vehicles
2020-05-30,National Rail,"3,4",8,Other public
2020-05-30,TfL Tube,5,8,London public
2020-05-30,TfL Bus,"5,7",0,London public
2020-05-30,Bus excl. London,"6,8,9",16,Other public
2020-05-30,Cycling,"10,11",323,Cycling
2020-05-31,Cars,2,67,Cars
2020-05-31,Light Commercial Vehicles,2,79,Logistics
2020-05-31,Heavy Goods Vehicles,2,94,Logistics
2020-05-31,All motor vehicles,2,71,All motor vehicles
2020-05-31,National Rail,"3,4",8,Other public
2020-05-31,TfL Tube,5,9,London public
2020-05-31,TfL Bus,"5,7",0,London public
2020-05-31,Bus excl. London,"6,8,9",19,Other public
2020-05-31,Cycling,"10,11",320,Cycling
2020-06-01,Cars,2,65,Cars
2020-06-01,Light Commercial Vehicles,2,78,Logistics
2020-06-01,Heavy Goods Vehicles,2,87,Logistics
2020-06-01,All motor vehicles,2,69,All motor vehicles
2020-06-01,National Rail,"3,4",8,Other public
2020-06-01,TfL Tube,5,10,London public
2020-06-01,TfL Bus,"5,7",0,London public
2020-06-01,Bus excl. London,"6,8,9",17,Other public
2020-06-01,Cycling,"10,11",182,Cycling
2020-06-02,Cars,2,65,Cars
2020-06-02,Light Commercial Vehicles,2,78,Logistics
2020-06-02,Heavy Goods Vehicles,2,84,Logistics
2020-06-02,All motor vehicles,2,69,All motor vehicles
2020-06-02,National Rail,"3,4",9,Other public
2020-06-02,TfL Tube,5,10,London public
2020-06-02,TfL Bus,"5,7",0,London public
2020-06-02,Bus excl. London,"6,8,9",18,Other public
2020-06-02,Cycling,"10,11",182,Cycling
2020-06-03,Cars,2,59,Cars
2020-06-03,Light Commercial Vehicles,2,74,Logistics
2020-06-03,Heavy Goods Vehicles,2,85,Logistics
2020-06-03,All motor vehicles,2,63,All motor vehicles
2020-06-03,National Rail,"3,4",10,Other public
2020-06-03,TfL Tube,5,10,London public
2020-06-03,TfL Bus,"5,7",0,London public
2020-06-03,Bus excl. London,"6,8,9",16,Other public
2020-06-03,Cycling,"10,11",118,Cycling
2020-06-04,Cars,2,60,Cars
2020-06-04,Light Commercial Vehicles,2,73,Logistics
2020-06-04,Heavy Goods Vehicles,2,85,Logistics
2020-06-04,All motor vehicles,2,64,All motor vehicles
2020-06-04,National Rail,"3,4",10,Other public
2020-06-04,TfL Tube,5,10,London public
2020-06-04,TfL Bus,"5,7",0,London public
2020-06-04,Bus excl. London,"6,8,9",17,Other public
2020-06-04,Cycling,"10,11",169,Cycling
2020-06-05,Cars,2,62,Cars
2020-06-05,Light Commercial Vehicles,2,74,Logistics
2020-06-05,Heavy Goods Vehicles,2,85,Logistics
2020-06-05,All motor vehicles,2,66,All motor vehicles
2020-06-05,National Rail,"3,4",11,Other public
2020-06-05,TfL Tube,5,10,London public
2020-06-05,TfL Bus,"5,7",0,London public
2020-06-05,Bus excl. London,"6,8,9",17,Other public
2020-06-05,Cycling,"10,11",113.99999999999999,Cycling
2020-06-06,Cars,2,63,Cars
2020-06-06,Light Commercial Vehicles,2,76,Logistics
2020-06-06,Heavy Goods Vehicles,2,90,Logistics
2020-06-06,All motor vehicles,2,66,All motor vehicles
2020-06-06,National Rail,"3,4",11,Other public
2020-06-06,TfL Tube,5,10,London public
2020-06-06,TfL Bus,"5,7",0,London public
2020-06-06,Bus excl. London,"6,8,9",16,Other public
2020-06-06,Cycling,"10,11",125,Cycling
2020-06-07,Cars,2,63,Cars
2020-06-07,Light Commercial Vehicles,2,76,Logistics
2020-06-07,Heavy Goods Vehicles,2,93,Logistics
2020-06-07,All motor vehicles,2,66,All motor vehicles
2020-06-07,National Rail,"3,4",12,Other public
2020-06-07,TfL Tube,5,11,London public
2020-06-07,TfL Bus,"5,7",0,London public
2020-06-07,Bus excl. London,"6,8,9",19,Other public
2020-06-07,Cycling,"10,11",222.00000000000003,Cycling
2020-06-08,Cars,2,63,Cars
2020-06-08,Light Commercial Vehicles,2,78,Logistics
2020-06-08,Heavy Goods Vehicles,2,87,Logistics
2020-06-08,All motor vehicles,2,68,All motor vehicles
2020-06-08,National Rail,"3,4",13,Other public
2020-06-08,TfL Tube,5,11,London public
2020-06-08,TfL Bus,"5,7",0,London public
2020-06-08,Bus excl. London,"6,8,9",18,Other public
2020-06-08,Cycling,"10,11",164,Cycling
2020-06-09,Cars,2,64,Cars
2020-06-09,Light Commercial Vehicles,2,79,Logistics
2020-06-09,Heavy Goods Vehicles,2,88,Logistics
2020-06-09,All motor vehicles,2,69,All motor vehicles
2020-06-09,National Rail,"3,4",13,Other public
2020-06-09,TfL Tube,5,11,London public
2020-06-09,TfL Bus,"5,7",25,London public
2020-06-09,Bus excl. London,"6,8,9",19,Other public
2020-06-09,Cycling,"10,11",168,Cycling
2020-06-10,Cars,2,61,Cars
2020-06-10,Light Commercial Vehicles,2,77,Logistics
2020-06-10,Heavy Goods Vehicles,2,88,Logistics
2020-06-10,All motor vehicles,2,66,All motor vehicles
2020-06-10,National Rail,"3,4",12,Other public
2020-06-10,TfL Tube,5,11,London public
2020-06-10,TfL Bus,"5,7",25,London public
2020-06-10,Bus excl. London,"6,8,9",17,Other public
2020-06-10,Cycling,"10,11",125,Cycling
2020-06-11,Cars,2,61,Cars
2020-06-11,Light Commercial Vehicles,2,75,Logistics
2020-06-11,Heavy Goods Vehicles,2,88,Logistics
2020-06-11,All motor vehicles,2,66,All motor vehicles
2020-06-11,National Rail,"3,4",12,Other public
2020-06-11,TfL Tube,5,11,London public
2020-06-11,TfL Bus,"5,7",26,London public
2020-06-11,Bus excl. London,"6,8,9",17,Other public
2020-06-11,Cycling,"10,11",124,Cycling
2020-06-12,Cars,2,64,Cars
2020-06-12,Light Commercial Vehicles,2,76,Logistics
2020-06-12,Heavy Goods Vehicles,2,87,Logistics
2020-06-12,All motor vehicles,2,67,All motor vehicles
2020-06-12,National Rail,"3,4",12,Other public
2020-06-12,TfL Tube,5,11,London public
2020-06-12,TfL Bus,"5,7",26,London public
2020-06-12,Bus excl. London,"6,8,9",18,Other public
2020-06-12,Cycling,"10,11",112.99999999999999,Cycling
2020-06-13,Cars,2,73,Cars
2020-06-13,Light Commercial Vehicles,2,85,Logistics
2020-06-13,Heavy Goods Vehicles,2,93,Logistics
2020-06-13,All motor vehicles,2,76,All motor vehicles
2020-06-13,National Rail,"3,4",13,Other public
2020-06-13,TfL Tube,5,12,London public
2020-06-13,TfL Bus,"5,7",31,London public
2020-06-13,Bus excl. London,"6,8,9",19,Other public
2020-06-13,Cycling,"10,11",286,Cycling
2020-06-14,Cars,2,74,Cars
2020-06-14,Light Commercial Vehicles,2,86,Logistics
2020-06-14,Heavy Goods Vehicles,2,97,Logistics
2020-06-14,All motor vehicles,2,77,All motor vehicles
2020-06-14,National Rail,"3,4",12,Other public
2020-06-14,TfL Tube,5,11,London public
2020-06-14,TfL Bus,"5,7",30,London public
2020-06-14,Bus excl. London,"6,8,9",21,Other public
2020-06-14,Cycling,"10,11",303,Cycling
2020-06-15,Cars,2,70,Cars
2020-06-15,Light Commercial Vehicles,2,84,Logistics
2020-06-15,Heavy Goods Vehicles,2,92,Logistics
2020-06-15,All motor vehicles,2,74,All motor vehicles
2020-06-15,National Rail,"3,4",12,Other public
2020-06-15,TfL Tube,5,14.000000000000002,London public
2020-06-15,TfL Bus,"5,7",32,London public
2020-06-15,Bus excl. London,"6,8,9",21,Other public
2020-06-15,Cycling,"10,11",168,Cycling
2020-06-16,Cars,2,68,Cars
2020-06-16,Light Commercial Vehicles,2,82,Logistics
2020-06-16,Heavy Goods Vehicles,2,91,Logistics
2020-06-16,All motor vehicles,2,72,All motor vehicles
2020-06-16,National Rail,"3,4",13,Other public
2020-06-16,TfL Tube,5,13,London public
2020-06-16,TfL Bus,"5,7",31,London public
2020-06-16,Bus excl. London,"6,8,9",21,Other public
2020-06-16,Cycling,"10,11",145,Cycling
2020-06-17,Cars,2,67,Cars
2020-06-17,Light Commercial Vehicles,2,81,Logistics
2020-06-17,Heavy Goods Vehicles,2,92,Logistics
2020-06-17,All motor vehicles,2,72,All motor vehicles
2020-06-17,National Rail,"3,4",13,Other public
2020-06-17,TfL Tube,5,13,London public
2020-06-17,TfL Bus,"5,7",30,London public
2020-06-17,Bus excl. London,"6,8,9",20,Other public
2020-06-17,Cycling,"10,11",167,Cycling
2020-06-18,Cars,2,65,Cars
2020-06-18,Light Commercial Vehicles,2,79,Logistics
2020-06-18,Heavy Goods Vehicles,2,89,Logistics
2020-06-18,All motor vehicles,2,69,All motor vehicles
2020-06-18,National Rail,"3,4",14.000000000000002,Other public
2020-06-18,TfL Tube,5,13,London public
2020-06-18,TfL Bus,"5,7",28.999999999999996,London public
2020-06-18,Bus excl. London,"6,8,9",19,Other public
2020-06-18,Cycling,"10,11",95,Cycling
2020-06-19,Cars,2,70,Cars
2020-06-19,Light Commercial Vehicles,2,82,Logistics
2020-06-19,Heavy Goods Vehicles,2,90,Logistics
2020-06-19,All motor vehicles,2,74,All motor vehicles
2020-06-19,National Rail,"3,4",14.000000000000002,Other public
2020-06-19,TfL Tube,5,14.000000000000002,London public
2020-06-19,TfL Bus,"5,7",28.999999999999996,London public
2020-06-19,Bus excl. London,"6,8,9",21,Other public
2020-06-19,Cycling,"10,11",117,Cycling
2020-06-20,Cars,2,83,Cars
2020-06-20,Light Commercial Vehicles,2,93,Logistics
2020-06-20,Heavy Goods Vehicles,2,97,Logistics
2020-06-20,All motor vehicles,2,86,All motor vehicles
2020-06-20,National Rail,"3,4",15,Other public
2020-06-20,TfL Tube,5,15,London public
2020-06-20,TfL Bus,"5,7",36,London public
2020-06-20,Bus excl. London,"6,8,9",24,Other public
2020-06-20,Cycling,"10,11",286,Cycling
2020-06-21,Cars,2,81,Cars
2020-06-21,Light Commercial Vehicles,2,90,Logistics
2020-06-21,Heavy Goods Vehicles,2,95,Logistics
2020-06-21,All motor vehicles,2,83,All motor vehicles
2020-06-21,National Rail,"3,4",15,Other public
2020-06-21,TfL Tube,5,13,London public
2020-06-21,TfL Bus,"5,7",34,London public
2020-06-21,Bus excl. London,"6,8,9",24,Other public
2020-06-21,Cycling,"10,11",186,Cycling
2020-06-22,Cars,2,72,Cars
2020-06-22,Light Commercial Vehicles,2,87,Logistics
2020-06-22,Heavy Goods Vehicles,2,93,Logistics
2020-06-22,All motor vehicles,2,77,All motor vehicles
2020-06-22,National Rail,"3,4",15,Other public
2020-06-22,TfL Tube,5,16,London public
2020-06-22,TfL Bus,"5,7",34,London public
2020-06-22,Bus excl. London,"6,8,9",23,Other public
2020-06-22,Cycling,"10,11",178,Cycling
2020-06-23,Cars,2,74,Cars
